Function,Category,Subcategory,2025,Current ,2026 Target,2027 estimate,,Project or improvements,Score Impact,Notes,Implementation Examples,Informative References,SSDF Reference,,Standards Owner,Standards Name/Reference,Standards Notes
,,"PR.PS-06: Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",2.0,2.5,3.0,3.0,,,,"with the work Hans/vista hardening we should get to 3.0 in 2026, sast, dast, secret scanning and vuln burn down","Ex1: Protect all components of organization-developed software from tampering and unauthorized access
Ex2: Secure all software produced by the organization, with minimal vulnerabilities in their releases
Ex3: Maintain the software used in production environments, and securely dispose of software once it is no longer needed","CIS Controls v8.0: 16.1
CRI Profile v2.0: PR.PS-06
CRI Profile v2.0: PR.PS-06.01
CRI Profile v2.0: PR.PS-06.02
CRI Profile v2.0: PR.PS-06.03
CRI Profile v2.0: PR.PS-06.04
CRI Profile v2.0: PR.PS-06.05
CRI Profile v2.0: PR.PS-06.06
CRI Profile v2.0: PR.PS-06.07
CRI Profile v2.0: PR.PS-06.08
CRI Profile v2.0: PR.PS-06.09
CRI Profile v2.0: PR.PS-06.10
CSF v1.1: PR.IP-2
SP 800-53 Rev 5.1.1: SA-03
SP 800-53 Rev 5.1.1: SA-08
SP 800-53 Rev 5.1.1: SA-10
SP 800-53 Rev 5.1.1: SA-11
SP 800-53 Rev 5.1.1: SA-15
SP 800-53 Rev 5.1.1: SA-17",,,,,
,"Technology Infrastructure Resilience (PR.IR): Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",PR.IR-01: Networks and environments are protected from unauthorized logical access and usage,2.5,3.0,3.0,3.0,,,,,"Ex1: Logically segment organization networks and cloud-based platforms according to trust boundaries and platform types (e.g., IT, IoT, OT, mobile, guests), and permit required communications only between segments
Ex2: Logically segment organization networks from external networks, and permit only necessary communications to enter the organization's networks from the external networks
Ex3: Implement zero trust architectures to restrict network access to each resource to the minimum necessary
Ex4: Check the cyber health of endpoints before allowing them to access and use production resources","CIS Controls v8.0: 3.12
CIS Controls v8.0: 12.2
CRI Profile v2.0: PR.IR-01
CRI Profile v2.0: PR.IR-01.01
CRI Profile v2.0: PR.IR-01.02
CRI Profile v2.0: PR.IR-01.03
CRI Profile v2.0: PR.IR-01.04
CRI Profile v2.0: PR.IR-01.05
CRI Profile v2.0: PR.IR-01.06
CRI Profile v2.0: PR.IR-01.07
CRI Profile v2.0: PR.IR-01.08
CSF v1.1: PR.AC-3
CSF v1.1: PR.AC-5
CSF v1.1: PR.DS-7
CSF v1.1: PR.PT-4
SP 800-218: PO.5.1
SP 800-53 Rev 5.1.1: AC-03
SP 800-53 Rev 5.1.1: AC-04
SP 800-53 Rev 5.1.1: SC-04
SP 800-53 Rev 5.1.1: SC-05
SP 800-53 Rev 5.1.1: SC-07",,,,,
,,PR.IR-02: The organization's technology assets are protected from environmental threats,3.0,3.0,3.0,3.0,,,,"Because our infrastructure is hosted in AWS, we have inherited their physical and environmental protections. Gives us a strong Tier 3–4 maturity baseline.
Our focus for maturing further should be:
- Documenting reliance on AWS’s controls,
- Testing and automating your own resilience (failover, backup, recovery), and
- Integrating resilience metrics into your monitoring and governance programs.","Ex1: Protect organizational equipment from known environmental threats, such as flooding, fire, wind, and excessive heat and humidity
Ex2: Include protection from environmental threats and provisions for adequate operating infrastructure in requirements for service providers that operate systems on the organization's behalf","CRI Profile v2.0: PR.IR-02
CRI Profile v2.0: PR.IR-02.01
CSF v1.1: PR.IP-5
SP 800-53 Rev 5.1.1: CP-02
SP 800-53 Rev 5.1.1: PE-09
SP 800-53 Rev 5.1.1: PE-10
SP 800-53 Rev 5.1.1: PE-11
SP 800-53 Rev 5.1.1: PE-12
SP 800-53 Rev 5.1.1: PE-13
SP 800-53 Rev 5.1.1: PE-14
SP 800-53 Rev 5.1.1: PE-15
SP 800-53 Rev 5.1.1: PE-18
SP 800-53 Rev 5.1.1: PE-23",,,,,
,,PR.IR-03: Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,2.5,2.5,3.0,3.0,,,,"Because our infrastructure is hosted in AWS, we have inherited their physical and environmental protections. Gives us a strong Tier 3 maturity baseline.
Our focus for maturing further should be:
- Testing and automating your own resilience (failover, backup, recovery)","Ex1: Avoid single points of failure in systems and infrastructure
Ex2: Use load balancing to increase capacity and improve reliability
Ex3: Use high-availability components like redundant storage and power supplies to improve system reliability","CRI Profile v2.0: PR.IR-03
CRI Profile v2.0: PR.IR-03.01
CSF v1.1: PR.PT-5
SP 800-53 Rev 5.1.1: CP
SP 800-53 Rev 5.1.1: IR
SP 800-53 Rev 5.1.1: SA-08
SP 800-53 Rev 5.1.1: SC-06
SP 800-53 Rev 5.1.1: SC-24
SP 800-53 Rev 5.1.1: SC-36
SP 800-53 Rev 5.1.1: SC-39
SP 800-53 Rev 5.1.1: SI-13",,,,,
,,PR.IR-04: Adequate resource capacity to ensure availability is maintained,3.0,3.0,3.0,3.0,,,,"Our infrastructure is hosted in AWS, we have inherited their physical and environmental protections. Gives us a strong Tier 3 maturity baseline.
Our focus for maturing further should be:
- Testing and automating your own resilience (failover, backup, recovery)","Ex1: Monitor usage of storage, power, compute, network bandwidth, and other resources
Ex2: Forecast future needs, and scale resources accordingly","CRI Profile v2.0: PR.IR-04
CRI Profile v2.0: PR.IR-04.01
CRI Profile v2.0: PR.IR-04.02
CSF v1.1: PR.DS-4
SP 800-53 Rev 5.1.1: CP-06
SP 800-53 Rev 5.1.1: CP-07
SP 800-53 Rev 5.1.1: CP-08
SP 800-53 Rev 5.1.1: PM-03
SP 800-53 Rev 5.1.1: PM-09",,,,,
DETECT (DE),"Continuous Monitoring (DE.CM): Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01: Networks and network services are monitored to find potentially adverse events,2.0,3.0,3.5,3.5,,,,,"Ex1: Monitor DNS, BGP, and other network services for adverse events
Ex2: Monitor wired and wireless networks for connections from unauthorized endpoints
Ex3: Monitor facilities for unauthorized or rogue wireless networks
Ex4: Compare actual network flows against baselines to detect deviations
Ex5: Monitor network communications to identify changes in security postures for zero trust purposes","CIS Controls v8.0: 13.1
CRI Profile v2.0: DE.CM-01
CRI Profile v2.0: DE.CM-01.01
CRI Profile v2.0: DE.CM-01.02
CRI Profile v2.0: DE.CM-01.03
CRI Profile v2.0: DE.CM-01.04
CRI Profile v2.0: DE.CM-01.05
CRI Profile v2.0: DE.CM-01.06
CSF v1.1: DE.CM-1
CSF v1.1: DE.CM-4
CSF v1.1: DE.CM-5
CSF v1.1: DE.CM-7
SP 800-53 Rev 5.1.1: AC-02
SP 800-53 Rev 5.1.1: AU-12
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CM-03
SP 800-53 Rev 5.1.1: SC-05
SP 800-53 Rev 5.1.1: SC-07
SP 800-53 Rev 5.1.1: SI-04",,,,,
,,DE.CM-02: The physical environment is monitored to find potentially adverse events,3.0,3.0,3.0,3.0,,,,Current state should be 3.0 - no sensitive data on-site and limited office use due to remote work approach. - cameras and access cards already implemented.,"Ex1: Monitor logs from physical access control systems (e.g., badge readers) to find unusual access patterns (e.g., deviations from the norm) and failed access attempts
Ex2: Review and monitor physical access records (e.g., from visitor registration, sign-in sheets)
Ex3: Monitor physical access controls (e.g., locks, latches, hinge pins, alarms) for signs of tampering
Ex4: Monitor the physical environment using alarm systems, cameras, and security guards","CRI Profile v2.0: DE.CM-02
CRI Profile v2.0: DE.CM-02.01
CSF v1.1: DE.CM-2
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: PE-03
SP 800-53 Rev 5.1.1: PE-06
SP 800-53 Rev 5.1.1: PE-20",,,,,
,,DE.CM-03: Personnel activity and technology usage are monitored to find potentially adverse events,3.0,3.0,3.5,3.5,,,,Okta and our SIEM has User and entity behavior analytics (UEBA) included. This puts us closer to 3.0. for 2026 soc will get us closer to 3.5,"Ex1: Use behavior analytics software to detect anomalous user activity to mitigate insider threats
Ex2: Monitor logs from logical access control systems to find unusual access patterns and failed access attempts
Ex3: Continuously monitor deception technology, including user accounts, for any usage","CIS Controls v8.0: 10.7
CRI Profile v2.0: DE.CM-03
CRI Profile v2.0: DE.CM-03.01
CRI Profile v2.0: DE.CM-03.02
CRI Profile v2.0: DE.CM-03.03
CSF v1.1: DE.CM-3
CSF v1.1: DE.CM-7
SP 800-53 Rev 5.1.1: AC-02
SP 800-53 Rev 5.1.1: AU-12
SP 800-53 Rev 5.1.1: AU-13
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CM-10
SP 800-53 Rev 5.1.1: CM-11",,,,,
,,DE.CM-06: External service provider activities and services are monitored to find potentially adverse events,2.5,3.0,3.5,3.5,,,,"Our infrastructure and identity stack already sit on AWS, Okta, Mosyle and Intune — and you’re feeding those logs into a SIEM.  We shoud be closer to 2.5 currently and improve AWS logging should help push this closer to 3.0, soc and grc will give us 3.5","Ex1: Monitor remote and onsite administration and maintenance activities that external providers perform on organizational systems
Ex2: Monitor activity from cloud-based services, internet service providers, and other service providers for deviations from expected behavior","CIS Controls v8.0: 15.2
CIS Controls v8.0: 15.6
CRI Profile v2.0: DE.CM-06
CRI Profile v2.0: DE.CM-06.01
CRI Profile v2.0: DE.CM-06.02
CSF v1.1: DE.CM-6
CSF v1.1: DE.CM-7
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: PS-07
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SI-04",,,,,
,,"DE.CM-09: Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",3.0,3.0,3.5,3.5,,,,"With our current SIEM setup we should be at 3.0, with soc 3.5","Ex1: Monitor email, web, file sharing, collaboration services, and other common attack vectors to detect malware, phishing, data leaks and exfiltration, and other adverse events
Ex2: Monitor authentication attempts to identify attacks against credentials and unauthorized credential reuse
Ex3: Monitor software configurations for deviations from security baselines
Ex4: Monitor hardware and software for signs of tampering
Ex5: Use technologies with a presence on endpoints to detect cyber health issues (e.g., missing patches, malware infections, unauthorized software), and redirect the endpoints to a remediation environment before access is authorized","CIS Controls v8.0: 10.1
CRI Profile v2.0: DE.CM-09
CRI Profile v2.0: DE.CM-09.01
CRI Profile v2.0: DE.CM-09.02
CRI Profile v2.0: DE.CM-09.03
CSF v1.1: PR.DS-6
CSF v1.1: PR.DS-8
CSF v1.1: DE.CM-4
CSF v1.1: DE.CM-5
CSF v1.1: DE.CM-7
SP 800-53 Rev 5.1.1: AC-04
SP 800-53 Rev 5.1.1: AC-09
SP 800-53 Rev 5.1.1: AU-12
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CM-03
SP 800-53 Rev 5.1.1: CM-06
SP 800-53 Rev 5.1.1: CM-10
SP 800-53 Rev 5.1.1: CM-11
SP 800-53 Rev 5.1.1: SC-34
SP 800-53 Rev 5.1.1: SC-35
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-07",,,,,
,"Adverse Event Analysis (DE.AE): Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02: Potentially adverse events are analyzed to better understand associated activities,3.0,3.0,3.5,3.5,,SOC implementation,,With our current SIEM setup we should be at 3.0. SOC implementation should push this to 3.5,"Ex1: Use security information and event management (SIEM) or other tools to continuously monitor log events for known malicious and suspicious activity
Ex2: Utilize up-to-date cyber threat intelligence in log analysis tools to improve detection accuracy and characterize threat actors, their methods, and indicators of compromise
Ex3: Regularly conduct manual reviews of log events for technologies that cannot be sufficiently monitored through automation
Ex4: Use log analysis tools to generate reports on their findings","CIS Controls v8.0: 8.11
CRI Profile v2.0: DE.AE-02
CRI Profile v2.0: DE.AE-02.01
CRI Profile v2.0: DE.AE-02.02
CSF v1.1: DE.AE-2
SP 800-53 Rev 5.1.1: AU-06
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: SI-04",,,,,
,,DE.AE-03: Information is correlated from multiple sources,3.0,3.0,3.5,3.5,,,,With our current SIEM setup we should be at 3.0,"Ex1: Constantly transfer log data generated by other sources to a relatively small number of log servers
Ex2: Use event correlation technology (e.g., SIEM) to collect information captured by multiple sources
Ex3: Utilize cyber threat intelligence to help correlate events among log sources","CRI Profile v2.0: DE.AE-03
CRI Profile v2.0: DE.AE-03.01
CRI Profile v2.0: DE.AE-03.02
CSF v1.1: DE.AE-3
SP 800-53 Rev 5.1.1: AU-06
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: PM-16
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-05
SP 800-53 Rev 5.1.1: IR-08
SP 800-53 Rev 5.1.1: SI-04",,,,,
,,DE.AE-04: The estimated impact and scope of adverse events are understood,3.0,3.0,3.5,3.5,,,,With our current SIEM setup we should be at 3.0,"Ex1: Use SIEMs or other tools to estimate impact and scope, and review and refine the estimates
Ex2: A person creates their own estimates of impact and scope","CRI Profile v2.0: DE.AE-04
CRI Profile v2.0: DE.AE-04.01
CSF v1.1: DE.AE-4
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-11
SP 800-53 Rev 5.1.1: PM-18
SP 800-53 Rev 5.1.1: PM-28
SP 800-53 Rev 5.1.1: PM-30",,,,,
,,DE.AE-06: Information on adverse events is provided to authorized staff and tools,3.0,3.0,3.5,3.5,,,,With our current SIEM setup we should be at 3.0,"Ex1: Use cybersecurity software to generate alerts and provide them to the security operations center (SOC), incident responders, and incident response tools
Ex2: Incident responders and other authorized personnel can access log analysis findings at all times
Ex3: Automatically create and assign tickets in the organization's ticketing system when certain types of alerts occur
Ex4: Manually create and assign tickets in the organization's ticketing system when technical staff discover indicators of compromise","CRI Profile v2.0: DE.AE-06
CRI Profile v2.0: DE.AE-06.01
CSF v1.1: DE.DP-4
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: PM-15
SP 800-53 Rev 5.1.1: PM-16
SP 800-53 Rev 5.1.1: RA-04
SP 800-53 Rev 5.1.1: RA-10",,,,,
,,DE.AE-07: Cyber threat intelligence and other contextual information are integrated into the analysis,2.0,3.0,3.5,3.5,,,,mg chat with derek maybe 2.5 now with soc 3.5,"Ex1: Securely provide cyber threat intelligence feeds to detection technologies, processes, and personnel
Ex2: Securely provide information from asset inventories to detection technologies, processes, and personnel
Ex3: Rapidly acquire and analyze vulnerability disclosures for the organization's technologies from suppliers, vendors, and third-party security advisories","CRI Profile v2.0: DE.AE-07
CRI Profile v2.0: DE.AE-07.01
CRI Profile v2.0: DE.AE-07.02
CSF v1.1: DE.AE-3
SP 800-53 Rev 5.1.1: PM-16
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-10",,,,,
,,DE.AE-08: Incidents are declared when adverse events meet the defined incident criteria,2.5,3.0,3.5,3.5,,SOC implementation,,IR training and soc will get us past 3,"Ex1: Apply incident criteria to known and assumed characteristics of activity in order to determine whether an incident should be declared
Ex2: Take known false positives into account when applying incident criteria","CRI Profile v2.0: DE.AE-08
CRI Profile v2.0: DE.AE-08.01
CSF v1.1: DE.AE-5
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-08",,,,,
RESPOND (RS),Incident Management (RS.MA): Responses to detected cybersecurity incidents are managed,RS.MA-01: The incident response plan is executed in coordination with relevant third parties once an incident is declared,2.0,2.0,2.5,2.5,,SOC implementation,,,"Ex1: Detection technologies automatically report confirmed incidents
Ex2: Request incident response assistance from the organization's incident response outsourcer
Ex3: Designate an incident lead for each incident
Ex4: Initiate execution of additional cybersecurity plans as needed to support incident response (for example, business continuity and disaster recovery)","CIS Controls v8.0: 17.4
CRI Profile v2.0: RS.MA-01
CRI Profile v2.0: RS.MA-01.01
CSF v1.1: RS.RP-1
CSF v1.1: RS.CO-4
SP 800-53 Rev 5.1.1: IR-06
SP 800-53 Rev 5.1.1: IR-07
SP 800-53 Rev 5.1.1: IR-08
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-08",,,,,
,,RS.MA-02: Incident reports are triaged and validated,2.0,2.5,3.0,3.0,,Security Operation Center,,,"Ex1: Preliminarily review incident reports to confirm that they are cybersecurity-related and necessitate incident response activities
Ex2: Apply criteria to estimate the severity of an incident","CRI Profile v2.0: RS.MA-02
CRI Profile v2.0: RS.MA-02.01
CSF v1.1: RS.AN-1
CSF v1.1: RS.AN-2
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-05
SP 800-53 Rev 5.1.1: IR-06",,,,,
,,RS.MA-03: Incidents are categorized and prioritized,2.0,2.5,3.0,3.0,,SOC implementation,,,"Ex1: Further review and categorize incidents based on the type of incident (e.g., data breach, ransomware, DDoS, account compromise)
Ex2: Prioritize incidents based on their scope, likely impact, and time-critical nature
Ex3: Select incident response strategies for active incidents by balancing the need to quickly recover from an incident with the need to observe the attacker or conduct a more thorough investigation","CRI Profile v2.0: RS.MA-03
CRI Profile v2.0: RS.MA-03.01
CSF v1.1: RS.AN-4
CSF v1.1: RS.AN-2
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-05
SP 800-53 Rev 5.1.1: IR-06",,,,,
,,RS.MA-04: Incidents are escalated or elevated as needed,2.0,2.5,3.0,3.0,,,,,"Ex1: Track and validate the status of all ongoing incidents
Ex2: Coordinate incident escalation or elevation with designated internal and external stakeholders","CRI Profile v2.0: RS.MA-04
CRI Profile v2.0: RS.MA-04.01
CSF v1.1: RS.AN-2
CSF v1.1: RS.CO-4
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-05
SP 800-53 Rev 5.1.1: IR-06
SP 800-53 Rev 5.1.1: IR-07",,,,,
,,RS.MA-05: The criteria for initiating incident recovery are applied,2.0,2.0,3.0,3.0,,,,,"Ex1: Apply incident recovery criteria to known and assumed characteristics of the incident to determine whether incident recovery processes should be initiated
Ex2: Take the possible operational disruption of incident recovery activities into account","CIS Controls v8.0: 17.9
CRI Profile v2.0: RS.MA-05
CRI Profile v2.0: RS.MA-05.01
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-08",,,,,
,Incident Analysis (RS.AN): Investigations are conducted to ensure effective response and support forensics and recovery activities,RS.AN-03: Analysis is performed to establish what has taken place during an incident and the root cause of the incident,2.5,2.5,3.0,3.0,,,,Current should be 2.5. SOC can improve this to 3.5 or 4.0,"Ex1: Determine the sequence of events that occurred during the incident and which assets and resources were involved in each event
Ex2: Attempt to determine what vulnerabilities, threats, and threat actors were directly or indirectly involved in the incident
Ex3: Analyze the incident to find the underlying, systemic root causes
Ex4: Check any cyber deception technology for additional information on attacker behavior","CIS Controls v8.0: 17.8
CRI Profile v2.0: RS.AN-03
CRI Profile v2.0: RS.AN-03.01
CSF v1.1: RS.AN-3
SP 800-53 Rev 5.1.1: AU-07
SP 800-53 Rev 5.1.1: IR-04",,,,,
,,"RS.AN-06: Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved",2.5,2.5,3.0,3.0,,,,Current should be 2.5. SOC can improve this to 3.5 or 4.0,"Ex1: Require each incident responder and others (e.g., system administrators, cybersecurity engineers) who perform incident response tasks to record their actions and make the record immutable
Ex2: Require the incident lead to document the incident in detail and be responsible for preserving the integrity of the documentation and the sources of all information being reported","CRI Profile v2.0: RS.AN-06
CRI Profile v2.0: RS.AN-06.01
CSF v1.1: RS.AN-3
SP 800-53 Rev 5.1.1: AU-07
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-06",,,,,
,,"RS.AN-07: Incident data and metadata are collected, and their integrity and provenance are preserved",2.5,2.5,3.0,3.0,,,,New in 2.0,"Ex1: Collect, preserve, and safeguard the integrity of all pertinent incident data and metadata (e.g., data source, date/time of collection) based on evidence preservation and chain-of-custody procedures","CRI Profile v2.0: RS.AN-07
CRI Profile v2.0: RS.AN-07.01
SP 800-53 Rev 5.1.1: AU-07
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-06",,,,,
,,RS.AN-08: An incident's magnitude is estimated and validated,2.5,2.5,3.0,3.0,,,,,"Ex1: Review other potential targets of the incident to search for indicators of compromise and evidence of persistence
Ex2: Automatically run tools on targets to look for indicators of compromise and evidence of persistence","CRI Profile v2.0: RS.AN-08
CRI Profile v2.0: RS.AN-08.01
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-08
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-07",,,,,
,"Incident Response Reporting and Communication (RS.CO): Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies",RS.CO-02: Internal and external stakeholders are notified of incidents,2.0,2.0,3.0,3.0,,,,document and refine processes grc,"Ex1: Follow the organization's breach notification procedures after discovering a data breach incident, including notifying affected customers
Ex2: Notify business partners and customers of incidents in accordance with contractual requirements
Ex3: Notify law enforcement agencies and regulatory bodies of incidents based on criteria in the incident response plan and management approval","CIS Controls v8.0: 17.2
CRI Profile v2.0: RS.CO-02
CRI Profile v2.0: RS.CO-02.01
CRI Profile v2.0: RS.CO-02.02
CRI Profile v2.0: RS.CO-02.03
CSF v1.1: RS.CO-2
CSF v1.1: RS.CO-3
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-06
SP 800-53 Rev 5.1.1: IR-07
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-08",,,,,
,,RS.CO-03: Information is shared with designated internal and external stakeholders,2.0,2.0,3.0,3.0,,,,document and refine processes grc,"Ex1: Securely share information consistent with response plans and information sharing agreements
Ex2: Voluntarily share information about an attacker's observed TTPs, with all sensitive data removed, with an Information Sharing and Analysis Center (ISAC)
Ex3: Notify HR when malicious insider activity occurs
Ex4: Regularly update senior leadership on the status of major incidents
Ex5: Follow the rules and protocols defined in contracts for incident information sharing between the organization and its suppliers
Ex6: Coordinate crisis communication methods between the organization and its critical suppliers","CIS Controls v8.0: 17.2
CRI Profile v2.0: RS.CO-03
CRI Profile v2.0: RS.CO-03.01
CRI Profile v2.0: RS.CO-03.02
CSF v1.1: RS.CO-3
CSF v1.1: RS.CO-5
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-06
SP 800-53 Rev 5.1.1: IR-07
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-08",,,,,
,Incident Mitigation (RS.MI): Activities are performed to prevent expansion of an event and mitigate its effects,RS.MI-01: Incidents are contained,2.5,2.5,3.0,3.0,,,,document and refine processes grc,"Ex1: Cybersecurity technologies (e.g., antivirus software) and cybersecurity features of other technologies (e.g., operating systems, network infrastructure devices) automatically perform containment actions
Ex2: Allow incident responders to manually select and perform containment actions
Ex3: Allow a third party (e.g., internet service provider, managed security service provider) to perform containment actions on behalf of the organization
Ex4: Automatically transfer compromised endpoints to a remediation virtual local area network (VLAN)","CRI Profile v2.0: RS.MI-01
CRI Profile v2.0: RS.MI-01.01
CSF v1.1: RS.MI-1
SP 800-53 Rev 5.1.1: IR-04",,,,,
,,RS.MI-02: Incidents are eradicated,2.5,2.5,3.0,3.0,,,,document and refine processes grc,"Ex1: Cybersecurity technologies and cybersecurity features of other technologies (e.g., operating systems, network infrastructure devices) automatically perform eradication actions
Ex2: Allow incident responders to manually select and perform eradication actions
Ex3: Allow a third party (e.g., managed security service provider) to perform eradication actions on behalf of the organization","CRI Profile v2.0: RS.MI-02
CRI Profile v2.0: RS.MI-02.01
CSF v1.1: RS.MI-2
SP 800-53 Rev 5.1.1: IR-04",,,,,
RECOVER (RC),Incident Recovery Plan Execution (RC.RP): Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,2.0,2.0,2.5,2.5,,,,documentation and training,"Ex1: Begin recovery procedures during or after incident response processes
Ex2: Make all individuals with recovery responsibilities aware of the plans for recovery and the authorizations required to implement each aspect of the plans","CRI Profile v2.0: RC.RP-01
CRI Profile v2.0: RC.RP-01.01
CSF v1.1: RC.RP-1
SP 800-53 Rev 5.1.1: CP-10
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-08",,,,,
,,"RC.RP-02: Recovery actions are selected, scoped, prioritized, and performed",2.0,2.0,2.5,2.5,,,,documentation and training,"Ex1: Select recovery actions based on the criteria defined in the incident response plan and available resources
Ex2: Change planned recovery actions based on a reassessment of organizational needs and resources","CRI Profile v2.0: RC.RP-02
CRI Profile v2.0: RC.RP-02.01
CRI Profile v2.0: RC.RP-02.02
CSF v1.1: RC.RP-1
SP 800-53 Rev 5.1.1: CP-10
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-08",,,,,
,,RC.RP-03: The integrity of backups and other restoration assets is verified before using them for restoration,2.0,2.0,2.5,2.5,,,,documentation and training,"Ex1: Check restoration assets for indicators of compromise, file corruption, and other integrity issues before use","CIS Controls v8.0: 11.5
CRI Profile v2.0: RC.RP-03
CRI Profile v2.0: RC.RP-03.01
SP 800-53 Rev 5.1.1: CP-02
SP 800-53 Rev 5.1.1: CP-04
SP 800-53 Rev 5.1.1: CP-09",,,,,
,,RC.RP-04: Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,2.0,2.0,2.5,2.5,,,,documentation and training,"Ex1: Use business impact and system categorization records (including service delivery objectives) to validate that essential services are restored in the appropriate order
Ex2: Work with system owners to confirm the successful restoration of systems and the return to normal operations
Ex3: Monitor the performance of restored systems to verify the adequacy of the restoration","CRI Profile v2.0: RC.RP-04
CRI Profile v2.0: RC.RP-04.01
SP 800-53 Rev 5.1.1: PM-08
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-11
SP 800-53 Rev 5.1.1: IR-01
SP 800-53 Rev 5.1.1: IR-08",,,,,
,,"RC.RP-05: The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",1.5,2.0,2.5,2.5,,,,documentation and training,"Ex1: Check restored assets for indicators of compromise and remediation of root causes of the incident before production use
Ex2: Verify the correctness and adequacy of the restoration actions taken before putting a restored system online","CRI Profile v2.0: RC.RP-05
CRI Profile v2.0: RC.RP-05.01
CRI Profile v2.0: RC.RP-05.02
SP 800-53 Rev 5.1.1: CP-10",,,,,
,,"RC.RP-06: The end of incident recovery is declared based on criteria, and incident-related documentation is completed",2.0,2.0,2.5,2.5,,,,documentation and training,"Ex1: Prepare an after-action report that documents the incident itself, the response and recovery actions taken, and lessons learned
Ex2: Declare the end of incident recovery once the criteria are met","CRI Profile v2.0: RC.RP-06
CRI Profile v2.0: RC.RP-06.01
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-08",,,,,
,Incident Recovery Communication (RC.CO): Restoration activities are coordinated with internal and external parties,RC.CO-03: Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,2.0,2.0,2.5,2.5,,,,documentation and training,"Ex1: Securely share recovery information, including restoration progress, consistent with response plans and information sharing agreements
Ex2: Regularly update senior leadership on recovery status and restoration progress for major incidents
Ex3: Follow the rules and protocols defined in contracts for incident information sharing between the organization and its suppliers
Ex4: Coordinate crisis communication between the organization and its critical suppliers","CRI Profile v2.0: RC.CO-03
CRI Profile v2.0: RC.CO-03.01
CRI Profile v2.0: RC.CO-03.02
CSF v1.1: RC.CO-3
SP 800-221A: GV.CO-1
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-06
SP 800-53 Rev 5.1.1: SR-08",,,,,
