Function,Category,Subcategory,2025,Current ,2026 Target,2027 estimate,,Project or improvements,Score Impact,Notes,Implementation Examples,Informative References,SSDF Reference,,Standards Owner,Standards Name/Reference,Standards Notes
,,GV.SC-04: Suppliers are known and prioritized by criticality,2.0,2.5,3.0,3.0,,GRC Tool or Solution,,,"Ex1: Develop criteria for supplier criticality based on, for example, the sensitivity of data processed or possessed by suppliers, the degree of access to the organization's systems, and the importance of the products or services to the organization's mission
Ex2: Keep a record of all suppliers, and prioritize suppliers based on the criticality criteria","CIS Controls v8.0: 15.1
CIS Controls v8.0: 15.3
CRI Profile v2.0: GV.SC-04
CRI Profile v2.0: GV.SC-04.01
CSF v1.1: ID.SC-2
SP 800-221A: GV.CT-2
SP 800-221A: GV.CT-3
SP 800-53 Rev 5.1.1: RA-09
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SR-06",,,,,
,,"GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",2.0,2.5,2.5,2.5,,,,,"Ex1: Establish security requirements for suppliers, products, and services commensurate with their criticality level and potential impact if compromised
Ex2: Include all cybersecurity and supply chain requirements that third parties must follow and how compliance with the requirements may be verified in default contractual language
Ex3: Define the rules and protocols for information sharing between the organization and its suppliers and sub-tier suppliers in agreements
Ex4: Manage risk by including security requirements in agreements based on their criticality and potential impact if compromised
Ex5: Define security requirements in service-level agreements (SLAs) for monitoring suppliers for acceptable security performance throughout the supplier relationship lifecycle
Ex6: Contractually require suppliers to disclose cybersecurity features, functions, and vulnerabilities of their products and services for the life of the product or the term of service
Ex7: Contractually require suppliers to provide and maintain a current component inventory (e.g., software or hardware bill of materials) for critical products
Ex8: Contractually require suppliers to vet their employees and guard against insider threats
Ex9: Contractually require suppliers to provide evidence of performing acceptable security practices through, for example, self-attestation, conformance to known standards, certifications, or inspections
Ex10: Specify in contracts and other agreements the rights and responsibilities of the organization, its suppliers, and their supply chains, with respect to potential cybersecurity risks","CIS Controls v8.0: 15.4
CRI Profile v2.0: EX.CN
CRI Profile v2.0: EX.CN-01
CRI Profile v2.0: EX.CN-02
CRI Profile v2.0: EX.CN-01.01
CRI Profile v2.0: EX.CN-01.02
CRI Profile v2.0: EX.CN-01.03
CRI Profile v2.0: EX.CN-02.01
CRI Profile v2.0: EX.CN-02.02
CRI Profile v2.0: EX.CN-02.03
CRI Profile v2.0: EX.CN-02.04
CSF v1.1: ID.SC-3
SP 800-218: PO.1.3
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-05
SP 800-53 Rev 5.1.1: SR-06
SP 800-53 Rev 5.1.1: SR-10",,,,,
,,GV.SC-06: Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,2.5,2.5,3.0,3.0,,GRC Tool or Solution,,Improve communication and awareness of Infosec vendor risk assessment (we stopped all review here and stared cn note only),"Ex1: Perform thorough due diligence on prospective suppliers that is consistent with procurement planning and commensurate with the level of risk, criticality, and complexity of each supplier relationship
Ex2: Assess the suitability of the technology and cybersecurity capabilities and the risk management practices of prospective suppliers
Ex3: Conduct supplier risk assessments against business and applicable cybersecurity requirements
Ex4: Assess the authenticity, integrity, and security of critical products prior to acquisition and use","CIS Controls v8.0: 15.5
CRI Profile v2.0: EX.DD
CRI Profile v2.0: EX.DD-01
CRI Profile v2.0: EX.DD-02
CRI Profile v2.0: EX.DD-01.01
CRI Profile v2.0: EX.DD-01.02
CRI Profile v2.0: EX.DD-01.03
CRI Profile v2.0: EX.DD-02.01
CRI Profile v2.0: EX.DD-02.02
CRI Profile v2.0: EX.DD-02.03
CRI Profile v2.0: EX.DD-02.04
CSF v1.1: ID.SC-1
SP 800-221A: GV.PO-1
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SR-05
SP 800-53 Rev 5.1.1: SR-06",,,,,
,,"GV.SC-07: The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",2.0,2.5,2.0,2.0,,GRC Tool or Solution,,,"Ex1: Adjust assessment formats and frequencies based on the third party's reputation and the criticality of the products or services they provide
Ex2: Evaluate third parties' evidence of compliance with contractual cybersecurity requirements, such as self-attestations, warranties, certifications, and other artifacts
Ex3: Monitor critical suppliers to ensure that they are fulfilling their security obligations throughout the supplier relationship lifecycle using a variety of methods and techniques, such as inspections, audits, tests, or other forms of evaluation
Ex4: Monitor critical suppliers, services, and products for changes to their risk profiles, and reevaluate supplier criticality and risk impact accordingly
Ex5: Plan for unexpected supplier and supply chain-related interruptions to ensure business continuity","CIS Controls v8.0: 15.6
CRI Profile v2.0: EX.MM
CRI Profile v2.0: EX.MM-01
CRI Profile v2.0: EX.MM-02
CRI Profile v2.0: EX.MM-01.01
CRI Profile v2.0: EX.MM-01.02
CRI Profile v2.0: EX.MM-01.03
CRI Profile v2.0: EX.MM-01.04
CRI Profile v2.0: EX.MM-01.05
CRI Profile v2.0: EX.MM-01.06
CRI Profile v2.0: EX.MM-02.01
CRI Profile v2.0: EX.MM-02.02
CRI Profile v2.0: EX.MM-02.03
CSF v1.1: ID.SC-2
CSF v1.1: ID.SC-4
SP 800-218: PW.4.1
SP 800-218: PW.4.4
SP 800-221A: GV.CT-2
SP 800-221A: GV.CT-3
SP 800-221A: MA.RM-2
SP 800-221A: MA.RM-3
SP 800-53 Rev 5.1.1: RA-09
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-06",,,,,
,,"GV.SC-08: Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",1.0,1.5,1.5,1.5,,,,,"Ex1: Define and use rules and protocols for reporting incident response and recovery activities and the status between the organization and its suppliers
Ex2: Identify and document the roles and responsibilities of the organization and its suppliers for incident response
Ex3: Include critical suppliers in incident response exercises and simulations
Ex4: Define and coordinate crisis communication methods and protocols between the organization and its critical suppliers
Ex5: Conduct collaborative lessons learned sessions with critical suppliers","CIS Controls v8.0: 15.4
CRI Profile v2.0: GV.SC-08
CRI Profile v2.0: GV.SC-08.01
CSF v1.1: ID.SC-5
SP 800-221A: GV.CT-3
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SR-02
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-08
SP 800-53 Rev 5.1.1: CP-01
SP 800-53 Rev 5.1.1: IR-01",,,,,
,,"GV.SC-09: Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",2.0,2.0,2.5,2.5,,GRC Tool or Solution,,,"Ex1: Policies and procedures require provenance records for all acquired technology products and services
Ex2: Periodically provide risk reporting to leaders about how acquired components are proven to be untampered and authentic
Ex3: Communicate regularly among cybersecurity risk managers and operations personnel about the need to acquire software patches, updates, and upgrades only from authenticated and trustworthy software providers
Ex4: Review policies to ensure that they require approved supplier personnel to perform maintenance on supplier products
Ex5: Policies and procedure require checking upgrades to critical hardware for unauthorized changes","CIS Controls v8.0: 15.6
CRI Profile v2.0: GV.SC-09
CRI Profile v2.0: GV.SC-09.01
CSF v1.1: ID.SC-1
SP 800-221A: GV.PO-1
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-19
SP 800-53 Rev 5.1.1: PM-28
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: PM-31
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SR-02
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-05
SP 800-53 Rev 5.1.1: SR-06",,,,,
,,GV.SC-10: Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,2.0,2.0,2.0,2.0,,,,,"Ex1: Establish processes for terminating critical relationships under both normal and adverse circumstances
Ex2: Define and implement plans for component end-of-life maintenance support and obsolescence
Ex3: Verify that supplier access to organization resources is deactivated promptly when it is no longer needed
Ex4: Verify that assets containing the organization's data are returned or properly disposed of in a timely, controlled, and safe manner
Ex5: Develop and execute a plan for terminating or transitioning supplier relationships that takes supply chain security risk and resiliency into account
Ex6: Mitigate risks to data and systems created by supplier termination
Ex7: Manage data leakage risks associated with supplier termination","CIS Controls v8.0: 15.7
CRI Profile v2.0: EX.TR
CRI Profile v2.0: EX.TR-01
CRI Profile v2.0: EX.TR-02
CRI Profile v2.0: EX.TR-01.01
CRI Profile v2.0: EX.TR-01.02
CRI Profile v2.0: EX.TR-01.03
CRI Profile v2.0: EX.TR-02.01
CSF v1.1: ID.SC-1
SP 800-221A: GV.PO-1
SP 800-53 Rev 5.1.1: PM-31
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SR-02
SP 800-53 Rev 5.1.1: SR-03
SP 800-53 Rev 5.1.1: SR-05
SP 800-53 Rev 5.1.1: SR-06",,,,,
IDENTIFY (ID),"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-01: Inventories of hardware managed by the organization are maintained,3.0,3.0,3.0,3.0,,,,,"Ex1: Maintain inventories for all types of hardware, including IT, IoT, OT, and mobile devices
Ex2: Constantly monitor networks to detect new hardware and automatically update inventories","CIS Controls v8.0: 1.1
CRI Profile v2.0: ID.AM-01
CRI Profile v2.0: ID.AM-01.01
CSF v1.1: ID.AM-1
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: CM-08
SP 800-53 Rev 5.1.1: PM-05",,,,Asset Management Standard,
,,"ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained",2.5,2.5,2.5,2.5,,,,"This should be closer to 2.5 - current, agree changed -mg","Ex1: Maintain inventories for all types of software and services, including commercial-off-the-shelf, open-source, custom applications, API services, and cloud-based applications and services
Ex2: Constantly monitor all platforms, including containers and virtual machines, for software and service inventory changes
Ex3: Maintain an inventory of the organization's systems","CIS Controls v8.0: 2.1
CRI Profile v2.0: ID.AM-02
CRI Profile v2.0: ID.AM-02.01
CSF v1.1: ID.AM-2
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: AC-20
SP 800-53 Rev 5.1.1: CM-08
SP 800-53 Rev 5.1.1: PM-05
SP 800-53 Rev 5.1.1: SA-05
SP 800-53 Rev 5.1.1: SA-09",,,,,
,,ID.AM-03: Representations of the organization's authorized network communication and internal and external network data flows are maintained,2.0,2.5,2.0,2.0,,,,,"Ex1: Maintain baselines of communication and data flows within the organization's wired and wireless networks
Ex2: Maintain baselines of communication and data flows between the organization and third parties
Ex3: Maintain baselines of communication and data flows for the organization's infrastructure-as-a-service (IaaS) usage
Ex4: Maintain documentation of expected network ports, protocols, and services that are typically used among authorized systems","CIS Controls v8.0: 3.8
CRI Profile v2.0: ID.AM-03
CRI Profile v2.0: ID.AM-03.01
CSF v1.1: ID.AM-3
CSF v1.1: DE.AE-1
SP 800-53 Rev 5.1.1: AC-04
SP 800-53 Rev 5.1.1: CA-03
SP 800-53 Rev 5.1.1: CA-09
SP 800-53 Rev 5.1.1: PL-02
SP 800-53 Rev 5.1.1: PL-08
SP 800-53 Rev 5.1.1: PM-07",,,,,
,,ID.AM-04: Inventories of services provided by suppliers are maintained,2.5,2.5,3.0,3.0,,GRC solution,,GRC solution with ability to discover SaaS and service in use can help track these.,"Ex1: Inventory all external services used by the organization, including third-party infrastructure-as-a-service (IaaS), platform-as-a-service (PaaS), and software-as-a-service (SaaS) offerings; APIs; and other externally hosted application services
Ex2: Update the inventory when a new external service is going to be utilized to ensure adequate cybersecurity risk management monitoring of the organization's use of that service","CIS Controls v8.0: 15.1
CRI Profile v2.0: ID.AM-04
CRI Profile v2.0: ID.AM-04.01
CSF v1.1: ID.AM-4
SP 800-53 Rev 5.1.1: AC-20
SP 800-53 Rev 5.1.1: SA-09
SP 800-53 Rev 5.1.1: SR-02",,,,,
,,"ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission",1.5,2.0,2.5,2.5,,,,,"Ex1: Define criteria for prioritizing each class of assets
Ex2: Apply the prioritization criteria to assets
Ex3: Track the asset priorities and update them periodically or when significant changes to the organization occur","CIS Controls v8.0: 3.7
CRI Profile v2.0: ID.AM-05
CRI Profile v2.0: ID.AM-05.01
CRI Profile v2.0: ID.AM-05.02
CSF v1.1: ID.AM-5
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-09
SP 800-53 Rev 5.1.1: RA-02",,,,,
,,ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,1.0,2.0,2.0,2.0,,,,,"Ex1: Maintain a list of the designated data types of interest (e.g., personally identifiable information, protected health information, financial account numbers, organization intellectual property, operational technology data)
Ex2: Continuously discover and analyze ad hoc data to identify new instances of designated data types
Ex3: Assign data classifications to designated data types through tags or labels
Ex4: Track the provenance, data owner, and geolocation of each instance of designated data types","CIS Controls v8.0: 3.2
CRI Profile v2.0: ID.AM-07
CRI Profile v2.0: ID.AM-07.01
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: CM-12
SP 800-53 Rev 5.1.1: CM-13
SP 800-53 Rev 5.1.1: SI-12",,,,,
,,"ID.AM-08: Systems, hardware, software, services, and data are managed throughout their life cycles",2.0,2.0,2.0,2.0,,,,,"Ex1: Integrate cybersecurity considerations throughout the life cycles of systems, hardware, software, and services
Ex2: Integrate cybersecurity considerations into product life cycles
Ex3: Identify unofficial uses of technology to meet mission objectives (i.e., shadow IT)
Ex4: Periodically identify redundant systems, hardware, software, and services that unnecessarily increase the organization's attack surface
Ex5: Properly configure and secure systems, hardware, software, and services prior to their deployment in production
Ex6: Update inventories when systems, hardware, software, and services are moved or transferred within the organization
Ex7: Securely destroy stored data based on the organization's data retention policy using the prescribed destruction method, and keep and manage a record of the destructions
Ex8: Securely sanitize data storage when hardware is being retired, decommissioned, reassigned, or sent for repairs or replacement
Ex9: Offer methods for destroying paper, storage media, and other physical forms of data storage","CIS Controls v8.0: 1.1
CIS Controls v8.0: 3.5
CRI Profile v2.0: ID.AM-08
CRI Profile v2.0: ID.AM-08.01
CRI Profile v2.0: ID.AM-08.02
CRI Profile v2.0: ID.AM-08.03
CRI Profile v2.0: ID.AM-08.04
CRI Profile v2.0: ID.AM-08.05
CRI Profile v2.0: ID.AM-08.06
CSF v1.1: PR.DS-3
CSF v1.1: PR.IP-2
CSF v1.1: PR.MA-1
CSF v1.1: PR.MA-2
CSF v1.1: PR.IP-6
CSF v1.1: PR.DS
SP 800-218: PW.4.1
SP 800-218: PW.4.4
SP 800-221A: MA.RI-1
SP 800-53 Rev 5.1.1: CM-09
SP 800-53 Rev 5.1.1: CM-13
SP 800-53 Rev 5.1.1: MA-02
SP 800-53 Rev 5.1.1: MA-06
SP 800-53 Rev 5.1.1: PL-02
SP 800-53 Rev 5.1.1: PM-22
SP 800-53 Rev 5.1.1: PM-23
SP 800-53 Rev 5.1.1: SA-03
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-08
SP 800-53 Rev 5.1.1: SA-22
SP 800-53 Rev 5.1.1: SI-12
SP 800-53 Rev 5.1.1: SI-18
SP 800-53 Rev 5.1.1: SR-05
SP 800-53 Rev 5.1.1: SR-12",,,,Asset Management Standard,
,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization","ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",2.0,2.5,3.0,3.0,,,,,"Ex1: Use vulnerability management technologies to identify unpatched and misconfigured software
Ex2: Assess network and system architectures for design and implementation weaknesses that affect cybersecurity
Ex3: Review, analyze, or test organization-developed software to identify design, coding, and default configuration vulnerabilities
Ex4: Assess facilities that house critical computing assets for physical vulnerabilities and resilience issues
Ex5: Monitor sources of cyber threat intelligence for information on new vulnerabilities in products and services
Ex6: Review processes and procedures for weaknesses that could be exploited to affect cybersecurity","CIS Controls v8.0: 7.1
CRI Profile v2.0: ID.RA-01
CRI Profile v2.0: ID.RA-01.01
CRI Profile v2.0: ID.RA-01.02
CRI Profile v2.0: ID.RA-01.03
CSF v1.1: ID.RA-1
CSF v1.1: PR.IP-12
CSF v1.1: DE.CM-8
SP 800-218: PO.5.2
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: SA-11(02)
SP 800-53 Rev 5.1.1: SA-15(07)
SP 800-53 Rev 5.1.1: SA-15(08)
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SI-05",,,,,
,,ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,2.0,3.0,3.0,3.0,,,,,"Ex1: Configure cybersecurity tools and technologies with detection or response capabilities to securely ingest cyber threat intelligence feeds
Ex2: Receive and review advisories from reputable third parties on current threat actors and their tactics, techniques, and procedures (TTPs)
Ex3: Monitor sources of cyber threat intelligence for information on the types of vulnerabilities that emerging technologies may have","CRI Profile v2.0: ID.RA-02
CRI Profile v2.0: ID.RA-02.01
CRI Profile v2.0: ID.RA-02.02
CSF v1.1: ID.RA-2
SP 800-221A: GV.BE-4
SP 800-53 Rev 5.1.1: SI-05
SP 800-53 Rev 5.1.1: PM-15
SP 800-53 Rev 5.1.1: PM-16",,,,,
,,ID.RA-03: Internal and external threats to the organization are identified and recorded,1.5,2.5,3.0,3.0,,,,,"Ex1: Use cyber threat intelligence to maintain awareness of the types of threat actors likely to target the organization and the TTPs they are likely to use
Ex2: Perform threat hunting to look for signs of threat actors within the environment
Ex3: Implement processes for identifying internal threat actors","CRI Profile v2.0: ID.RA-03
CRI Profile v2.0: ID.RA-03.01
CRI Profile v2.0: ID.RA-03.02
CRI Profile v2.0: ID.RA-03.03
CRI Profile v2.0: ID.RA-03.04
CSF v1.1: ID.RA-3
SP 800-221A: MA.RI-2
SP 800-53 Rev 5.1.1: PM-12
SP 800-53 Rev 5.1.1: PM-16
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: SI-05",,,,,
,,ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,1.5,2.0,3.0,3.0,,,,GRC will improve us to 2.5,"Ex1: Business leaders and cybersecurity risk management practitioners work together to estimate the likelihood and impact of risk scenarios and record them in risk registers
Ex2: Enumerate the potential business impacts of unauthorized access to the organization's communications, systems, and data processed in or by those systems
Ex3: Account for the potential impacts of cascading failures for systems of systems","CRI Profile v2.0: ID.RA-04
CRI Profile v2.0: ID.RA-04.01
CSF v1.1: ID.RA-4
SP 800-221A: MA.RI-4
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-11
SP 800-53 Rev 5.1.1: RA-02
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-08
SP 800-53 Rev 5.1.1: RA-09",,,,,
,,"ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",2.0,2.5,3.0,3.0,,,,,"Ex1: Develop threat models to better understand risks to the data and identify appropriate risk responses
Ex2: Prioritize cybersecurity resource allocations and investments based on estimated likelihoods and impacts","CRI Profile v2.0: ID.RA-05
CRI Profile v2.0: ID.RA-05.01
CRI Profile v2.0: ID.RA-05.02
CRI Profile v2.0: ID.RA-05.03
CRI Profile v2.0: ID.RA-05.04
CSF v1.1: ID.RA-5
SP 800-218: PW.1.1
SP 800-221A: MA.RA-2
SP 800-53 Rev 5.1.1: PM-16
SP 800-53 Rev 5.1.1: RA-02
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-07",,,,,
,,"ID.RA-06: Risk responses are chosen, prioritized, planned, tracked, and communicated",2.0,2.0,3.0,3.0,,,,,"Ex1: Apply the vulnerability management plan's criteria for deciding whether to accept, transfer, mitigate, or avoid risk
Ex2: Apply the vulnerability management plan's criteria for selecting compensating controls to mitigate risk
Ex3: Track the progress of risk response implementation (e.g., plan of action and milestones [POA&M], risk register, risk detail report)
Ex4: Use risk assessment findings to inform risk response decisions and actions
Ex5: Communicate planned risk responses to affected stakeholders in priority order","CRI Profile v2.0: ID.RA-06
CRI Profile v2.0: ID.RA-06.01
CRI Profile v2.0: ID.RA-06.02
CRI Profile v2.0: ID.RA-06.03
CRI Profile v2.0: ID.RA-06.04
CRI Profile v2.0: ID.RA-06.05
CRI Profile v2.0: ID.RA-06.06
CSF v1.1: ID.RA-6
CSF v1.1: RS.MI-3
SP 800-218: PO.5.2
SP 800-221A: MA.RP
SP 800-53 Rev 5.1.1: PM-09
SP 800-53 Rev 5.1.1: PM-18
SP 800-53 Rev 5.1.1: PM-30
SP 800-53 Rev 5.1.1: RA-07",,,,,
,,"ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked",2.0,2.0,3.0,3.0,,,,,"Ex1: Implement and follow procedures for the formal documentation, review, testing, and approval of proposed changes and requested exceptions
Ex2: Document the possible risks of making or not making each proposed change, and provide guidance on rolling back changes
Ex3: Document the risks related to each requested exception and the plan for responding to those risks
Ex4: Periodically review risks that were accepted based upon planned future actions or milestones","CRI Profile v2.0: ID.RA-07
CRI Profile v2.0: ID.RA-07.01
CRI Profile v2.0: ID.RA-07.02
CRI Profile v2.0: ID.RA-07.03
CRI Profile v2.0: ID.RA-07.04
CRI Profile v2.0: ID.RA-07.05
CSF v1.1: PR.IP-3
SP 800-218: PO.5.2
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CM-03
SP 800-53 Rev 5.1.1: CM-04",,,,,
,,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established",2.0,2.5,3.0,3.0,,,,target maybe 3,"Ex1: Conduct vulnerability information sharing between the organization and its suppliers following the rules and protocols defined in contracts
Ex2: Assign responsibilities and verify the execution of procedures for processing, analyzing the impact of, and responding to cybersecurity threat, vulnerability, or incident disclosures by suppliers, customers, partners, and government cybersecurity organizations","CIS Controls v8.0: 7.2
CRI Profile v2.0: ID.RA-08
CRI Profile v2.0: ID.RA-08.01
CRI Profile v2.0: ID.RA-08.02
CSF v1.1: RS.AN-5
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: RA-05",,,,,
,,ID.RA-09: The authenticity and integrity of hardware and software are assessed prior to acquisition and use,2.0,2.0,2.5,2.5,,,,,Ex1: Assess the authenticity and cybersecurity of critical technology products and services prior to acquisition and use,"CRI Profile v2.0: EX.DD-04
CRI Profile v2.0: EX.DD-04.01
CRI Profile v2.0: EX.DD-04.02
CSF v1.1: PR.DS-8
SP 800-218: PO.5.2
SP 800-221A: MA.RI-3
SP 800-53 Rev 5.1.1: SA-04
SP 800-53 Rev 5.1.1: SA-05
SP 800-53 Rev 5.1.1: SA-10
SP 800-53 Rev 5.1.1: SA-11
SP 800-53 Rev 5.1.1: SA-15
SP 800-53 Rev 5.1.1: SA-17
SP 800-53 Rev 5.1.1: SI-07
SP 800-53 Rev 5.1.1: SR-05
SP 800-53 Rev 5.1.1: SR-06
SP 800-53 Rev 5.1.1: SR-10
SP 800-53 Rev 5.1.1: SR-11",,,,,
,,ID.RA-10: Critical suppliers are assessed prior to acquisition,2.5,3.0,3.5,3.5,,,,"current should be 2.5, with grc 3.5","Ex1: Conduct supplier risk assessments against business and applicable cybersecurity requirements, including the supply chain","CRI Profile v2.0: EX.DD-03
CRI Profile v2.0: EX.DD-03.01
CRI Profile v2.0: EX.DD-03.02
CRI Profile v2.0: EX.DD-03.03
CSF v1.1: ID.SC-2
CSF v1.1: ID.SC-4
SP 800-221A: GV.CT-2
SP 800-221A: GV.CT-3
SP 800-221A: MA.RM-2
SP 800-221A: MA.RM-3
SP 800-53 Rev 5.1.1: SR-06",,,,,
,"Improvement (ID.IM): Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions",ID.IM-01: Improvements are identified from evaluations,2.0,2.5,2.5,2.5,,,,New in 2.0,"Ex1: Perform self-assessments of critical services that take current threats and TTPs into consideration
Ex2: Invest in third-party assessments or independent audits of the effectiveness of the organization's cybersecurity program to identify areas that need improvement
Ex3: Constantly evaluate compliance with selected cybersecurity requirements through automated means","CRI Profile v2.0: ID.IM-01
CRI Profile v2.0: ID.IM-01.01
CRI Profile v2.0: ID.IM-01.02
CRI Profile v2.0: ID.IM-01.03
CRI Profile v2.0: ID.IM-01.04
CRI Profile v2.0: ID.IM-01.05
SP 800-53 Rev 5.1.1: AC-01
SP 800-53 Rev 5.1.1: AT-01
SP 800-53 Rev 5.1.1: AU-01
SP 800-53 Rev 5.1.1: CA-01
SP 800-53 Rev 5.1.1: CM-01
SP 800-53 Rev 5.1.1: CP-01
SP 800-53 Rev 5.1.1: IA-01
SP 800-53 Rev 5.1.1: IR-01
SP 800-53 Rev 5.1.1: MA-01
SP 800-53 Rev 5.1.1: MP-01
SP 800-53 Rev 5.1.1: PE-01
SP 800-53 Rev 5.1.1: PL-01
SP 800-53 Rev 5.1.1: PM-01
SP 800-53 Rev 5.1.1: PS-01
SP 800-53 Rev 5.1.1: PT-01
SP 800-53 Rev 5.1.1: RA-01
SP 800-53 Rev 5.1.1: SA-01
SP 800-53 Rev 5.1.1: SC-01
SP 800-53 Rev 5.1.1: SI-01
SP 800-53 Rev 5.1.1: SR-01
SP 800-53 Rev 5.1.1: CA-02
SP 800-53 Rev 5.1.1: CA-05
SP 800-53 Rev 5.1.1: CA-07
SP 800-53 Rev 5.1.1: CA-08
SP 800-53 Rev 5.1.1: CP-02
SP 800-53 Rev 5.1.1: IR-04
SP 800-53 Rev 5.1.1: IR-08
SP 800-53 Rev 5.1.1: PL-02
SP 800-53 Rev 5.1.1: RA-03
SP 800-53 Rev 5.1.1: RA-05
SP 800-53 Rev 5.1.1: RA-07
SP 800-53 Rev 5.1.1: SA-08
SP 800-53 Rev 5.1.1: SA-11
SP 800-53 Rev 5.1.1: SA-17(06)
SP 800-53 Rev 5.1.1: SI-02
SP 800-53 Rev 5.1.1: SI-04
SP 800-53 Rev 5.1.1: SR-05",,,,,
